Easting,Northing,Elevation_m,Surface_cover
85190,33862,480,Riverbank 
85192,33862,478,Mining heap
85193,33855,473,Grass
85194,33849,470,Mining heap
85193,33848,471,Peat and reeds 
85196,33849,473,Wet moss 
85195,33840,474,Wet moss 
85196,33834,474,Grass
85198,33824,473,Thistles 
85199,33818,473,Grass
85200,33815,475,Grass slope
85199,33815,472,Thistles and moss
85200,33811,474,Grass
85202,33806,476,"Lack of vegetation due to mining (likely traces of lead within the ground, leaving vegetation unable to grow); gravel "
85201,33800,478,Grass and gravel 
,,,
85129,33921,484,Grass which has brown straw looking reeds 
85129,33918,484,Grass which has brown straw looking reeds 
85129,33913,482,Grass which has brown straw looking reeds 
85131,33907,482,Grass which has brown straw looking reeds 
85134,33896,482,Grass which has brown straw looking reeds 
85135,33892,482,Grass which has brown straw looking reeds 
85135,33892,479,Grass which has brown straw looking reeds 
85137,33887,482,Grass which has brown straw looking reeds 
85139,33885,480,Grass which has brown straw looking reeds 
85139,33883,478,Grass which has brown straw looking reeds 
85139,33882,479,Grass which has brown straw looking reeds 
85141,33877,482,Grass which has brown straw looking reeds 
85139,33874,480,Grass which has brown straw looking reeds 
85139,33872,480,Grass which has brown straw looking reeds 
85141,33864,479,Grass is slightly shoter and less reedy 
85141,33864,478,Grass which has brown straw looking reeds 
85142,33854,477,Grass which has brown straw looking reeds 
85143,33856,477,Grass which has brown straw looking reeds 
85143,33653,475,Grass which has brown straw looking reeds 
85146,33850,475,Grass which has brown straw looking reeds 
85147,33846,471,Grass which has brown straw looking reeds 
85150,33843,470,Grass which has brown straw looking reeds 
85151,33836,471,Grass which has brown straw looking reeds 
85151,33835,471,Grass which has brown straw looking reeds 
85152,33832,472,Grass which has brown straw looking reeds 
85154,33829,471,Grass which has brown straw looking reeds 
85156,33826,471,Grass which has brown straw looking reeds 
85158,33825,467,Grass with some rocks
85158,33825,467,Start of the river channel 
,,,"River, with large rocks and pebbles"
,,,
85168,33930,494,
85170,33929,495,
85170,33925,495,
85172,33920,495,
85173,33917,495,
85173,33914,494,
85174,33910,493,
85177,33900,494,
85178,33891,491,
85182,33883,490,
85184,33873,490,
85185,33865,489,
85185,33863,485,
85187,33862,485,
85187,33859,483,
85188,33853,480,
85190,33849,479,
85192,33845,477,
85191,33844,478,
85193,33841,478,
85194,33838,478,
85195,33834,477,
85197,33831,477,
85197,33822,477,
85199,33818,478,
85199,33812,479,
85202,33809,483,
85204,33806,483,
85202,33799,486,
,,,
858125,33922,491,
85128,33914,491,
85129,33910,491,
85130,33903,490,
85133,33897,487,
85135,33888,485,
85136,33884,485,
85136,33883,454,first uphill
85137,33882,485,
85138,33879,485,
85140,33875,484,
85143,33870,482,
85142,33867,483,
85144,33855,482,
85145,33846,482,
85146,33844,481,
85149,33835,479,
85149,33831,478,
85151,33829,478,
85152,33827,477,
85152,33825,474,
85154,33822,470,down to river
85152,33822,470,across river
85154,33818,471,
85155,33818,471,
85156,33814,471,
85156,33812,475,
85156,33809,474,
85158,22805,476,
85159,33801,479,
85160,33797,479,
85160,33791,479,
85160,33790,478,
85162,33786,481,
85164,33781,481,
,,,
85147,33932,490,Grassy vegetation
85147,33932,491,Grassy vegetation
85147,33927,489,Grassy vegetation
85147,33922,488,Grassy vegetation
85149,33918,486,Grassy vegetation
85150,33914,493,Grassy vegetation
85151,33910,492,Grassy vegetation
85152,33906,491,Grassy vegetation
85151,33901,490,Grassy vegetation
85153,33896,489,Grassy vegetation
85155,33891,488,Grassy vegetation
85157,33885,487,Grassy vegetation
85160,33880,486,Grassy vegetation
85163,33873,485,Grassy vegetation
85165,33870,486,Grassy vegetation
85167,33863,485,Grassy vegetation
85167,33860,484,Grassy vegetation
85169,33856,484,Grassy vegetation
85169,33853,483,Grassy vegetation
85171,33850,483,Grassy vegetation
85173,33847,482,Grassy vegetation
85173,33842,481,Grassy vegetation
85174,33840,480,Grassy vegetation
85177,33839,478,Grassy vegetation
85176,33840,476,Grassy vegetation
88176,33840,477,Grassy vegetation
88178,33840,475,Grassy vegetation
85176,33840,474,Stream
85178,33834,475,Stream
85182,33834,475,Grassy vegetation
85186,33828,476,Grassy vegetation
85184,33826,477,Grassy vegetation
85181,33818,478,Grassy vegetation
85182,33817,480,Grassy vegetation
85181,33813,481,Grassy vegetation
85181,33810,483,Grassy vegetation
85181,33806,484,Grassy vegetation
85180,33800,484,Grassy vegetation
85179,33797,486,Grassy vegetation
,,,
NY 85101,BNG 33924,489,
NY 85101,BNG 33924,489,
NY 85101,BNG 33923,488,
NY 85101,BNG 33922,489,
NY 85102,BNG 33919,489,
NY 85103,BNG 33913,489,
NY 85105,BNG 33909,490,
NY 85111,BNG 33887,487,
NY 85112,BNG 33878,487,
NY 85116,BNG 33867,486,
NY 85118,BNG 33857,484,
NY 85119,BNG 33857,483,
NY 85119,BNG 33853,483,
NY 85119,BNG 33851,482,
NY 85120,BNG 33848,481,
NY 85121,BNG 33845,480,
NY 85122,BNG 33839,479,
NY 85122,BNG 33838,478,
NY 85123,BNG 33837,478,
NY 85124,BNG 33835,477,
NY 85125,BNG 33832,477,
NY 85125,BNG 33831,477,
NY 85125,BNG 33830,477,
NY 85126,BNG 33528,477,
NY 85127,BNG 33824,477,
NY 85128,BNG 33822,477,
NY 85128,BNG 33821,477,
NY 85128,BNG 33819,477,
NY 85128,BNG 33819,476,
NY 85131,BNG 33808,471,
NY 85131,BNG 33808,471,
NY 85131,BNG 33808,471,
NY 85132,BNG 33803,471,
NY 85131,BNG 33801,470,
NY 85132,BNG 33800,469,
NY 85131,BNG 33796,470,
NY 85130,BNG 33795,470,
NY 85131,BNG 33794,471,
NY 85132,BNG 33793,473,
NY 85132,BNG 33790,474,
NY 85132,BNG 33784,476,
NY 85133,BNG 33788,477,
NY 85134,BNG 33787,478,
,,,
85168,33933,490,Grass
85169,33936,492,Grass
85170,33926,491,Grass
85169,33918,490,Grass
85172,33910,489,Grass
85176,33897,488,Grass
85179,33877,486,Grass
85186,33864,483,Grass
85186,33861,483,Grass
85912,33858,476,Landslide- diamicton- mud-no vegetation
85198,33855,474,River bed
85201,33853,477,River bed to Rock pile
85202,33849,477,Rock pile down to Grassland slope
85204,33838,476,Grass/ Peatland cover
85204,33835,478,Grass/ Peatland cover
85204,33834,478,Grass/ Peatland cover
85204,33825,479,Grass/ Peatland cover
85203,33824,478,Grass/ Peatland cover
85202,33820,477,Grass/ Peatland cover
85204,33816,479,Grass/ Peatland cover
85204,33813,481,Grass/ Peatland cover
